#ies_format_version: 1.0
#file: 20250714_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	register1;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	register1
20250714;	125808;	1752478088.000;	       err32
20250714;	125812;	1752478092.000;	       err32
20250714;	125816;	1752478096.000;	       err32
20250714;	125820;	1752478100.000;	       err32
20250714;	125824;	1752478104.000;	       err32
20250714;	125828;	1752478108.000;	       err32
20250714;	125832;	1752478112.000;	       err32
20250714;	125836;	1752478116.000;	       err32
20250714;	125840;	1752478120.000;	       err32
20250714;	125844;	1752478124.000;	       err32
20250714;	125848;	1752478128.000;	       err32
20250714;	125852;	1752478132.000;	       err32
20250714;	125856;	1752478136.000;	       err32
20250714;	125900;	1752478140.000;	       err32
20250714;	125904;	1752478144.000;	       err32
20250714;	125908;	1752478148.000;	       err32
20250714;	125912;	1752478152.000;	       err32
20250714;	125916;	1752478156.000;	       err32
20250714;	125920;	1752478160.000;	       err32
20250714;	125924;	1752478164.000;	       err32
20250714;	125928;	1752478168.000;	       err32
20250714;	125932;	1752478172.000;	       err32
20250714;	125936;	1752478176.000;	       err32
20250714;	125940;	1752478180.000;	       err32
20250714;	125944;	1752478184.000;	       err32
20250714;	125948;	1752478188.000;	       err32
20250714;	125952;	1752478192.000;	       err32
20250714;	125956;	1752478196.000;	       err32
20250714;	130000;	1752478200.000;	       err32
20250714;	130004;	1752478204.000;	       err32
20250714;	130008;	1752478208.000;	       err32
20250714;	130012;	1752478212.000;	       err32
20250714;	130016;	1752478216.000;	       err32
20250714;	130020;	1752478220.000;	       err32
20250714;	130024;	1752478224.000;	       err32
20250714;	130028;	1752478228.000;	       err32
20250714;	130032;	1752478232.000;	       err32
20250714;	130036;	1752478236.000;	       err32
20250714;	130040;	1752478240.000;	       err32
20250714;	130044;	1752478244.000;	       err32
20250714;	130048;	1752478248.000;	       err32
20250714;	130052;	1752478252.000;	       err32
20250714;	130056;	1752478256.000;	       err32
20250714;	130100;	1752478260.000;	       err32
20250714;	130104;	1752478264.000;	       err32
20250714;	130108;	1752478268.000;	       err32
20250714;	130112;	1752478272.000;	       err32
20250714;	130116;	1752478276.000;	       err32
20250714;	130120;	1752478280.000;	       err32
20250714;	130124;	1752478284.000;	       err32
20250714;	130128;	1752478288.000;	       err32
